"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"28","c_P02","3","CONTROL",-1.47802210575844,55.5491014550562,-0.669239186375978,0.412243240095568,-0.497678253142721,1,2.8,6,7,5,"low",1.47416885033571,-18.4698224060567,"CONTROL","CONTROL"
"29","c_P02","3","DIFF",-1.0305847087829,61.6354614007353,0.522638153524168,-0.205136463477048,0.818080984662558,0.25,16.6,6,7,5,"low",-0.0309454269919033,-12.6317124249888,"DIFF","DIFF"
"30","c_P02","3","EASY",-1.56208574978167,53.1093137568493,0.684119492719561,-0.151521245530142,0.0171236567669598,1,9.2,6,7,5,"low",0.460110364212942,-14.4569535425696,"EASY","EASY"
"31","c_P02","4","CONTROL",-1.76367734711479,50.276000109375,-0.534987211661678,0.773841429269054,-0.497678253142721,1,2,6,7,5,"low",0.662617909647124,-14.6515028683208,"CONTROL","CONTROL"
"32","c_P02","4","DIFF",-0.970059000230286,64.0381825390335,0.558458838068809,0.977031166912375,0.83241756428192,0.75,16,6,7,5,"low",0.184306438432304,-12.4518453062754,"DIFF","DIFF"
"33","c_P02","4","EASY",-0.998344399984909,61.7352266286765,0.519906750735311,0.162853343765884,-0.110109190779778,1,10,6,7,5,"low",0.0860517699790639,-13.7247998362256,"EASY","EASY"
"34","c_P02","5","CONTROL",-1.97702140010562,46.9386256300578,-0.734397757406985,0.232174049454245,-0.497678253142721,1,2.6,6,7,5,"low",1.04926323061822,-15.8215701298156,"CONTROL","CONTROL"
"35","c_P02","5","DIFF",-1.3621317666512,57.0242267440273,0.630717040555428,0.341016952411715,0.698411842654148,0.5,14.8,6,7,5,"low",1.64800439591219,-20.0646426728465,"DIFF","DIFF"
"36","c_P02","5","EASY",-1.83608074198021,48.069421045082,0.0755125564768152,0.0808470729366348,-0.0966169310941302,1,10.2,6,7,5,"low",-0.103319096580261,-12.1521806044551,"EASY","EASY"
"37","c_P04","0","CONTROL",0.699669857907329,92.7702562208835,0.967282306414264,-1.16095444665851,-0.497678253142721,1,7.2,8.5,8,9,"high",-1.18853368652119,-2.1459320966411,"CONTROL","CONTROL"
"38","c_P04","0","DIFF",0.699819142691434,97.2877905498392,1.1902776585283,0.694439713532386,1.17353555596932,0.75,11.2,8.5,8,9,"high",-0.36110387517925,-3.94224826817561,"DIFF","DIFF"
"39","c_P04","0","EASY",1.20625019007017,93.457850548913,0.491105065829636,-1.03882426870977,0.0861004892810862,1,4,8.5,8,9,"high",-1.97334776613175,-2.87018919921892,"EASY","EASY"
"40","c_P04","1","CONTROL",0.361726134699663,86.7289212633929,0.318290924804757,0.439610502285701,-0.497678253142721,1,5.6,8.5,8,9,"high",0.065674573672578,-11.9554428358051,"CONTROL","CONTROL"
"41","c_P04","1","DIFF",1.40701738493306,106.852350032558,0.25300737445795,0.226087909918439,1.61924345255716,0.75,11.6,8.5,8,9,"high",-0.318617262277522,-6.49562751199525,"DIFF","DIFF"
"42","c_P04","1","EASY",0.563060155914893,87.6519351232877,0.465204110527774,-1.29886414833407,-0.641464876588189,1,4.4,8.5,8,9,"high",-0.0338732506798411,-13.7446837410354,"EASY","EASY"
"43","c_P04","2","CONTROL",0.123128880416919,81.8225532789855,0.821022238406073,0.110271280228455,-0.497678253142721,1,4.6,8.5,8,9,"high",-0.0718974361691508,-11.8178978813357,"CONTROL","CONTROL"
"44","c_P04","2","DIFF",0.832978037758652,92.6309270938775,0.404859258950487,-1.3729175068179,0.0204121106369699,0.75,9.6,8.5,8,9,"high",-0.152025029896543,-12.4423985409258,"DIFF","DIFF"
"45","c_P04","2","EASY",-0.113459562023569,72.405274742268,0.918671399954273,-1.41314962821892,-2.06265985999445,1,5.8,8.5,8,9,"high",0.17141708992323,-18.8246021716264,"EASY","EASY"
"46","c_P04","3","CONTROL",-0.444827307207664,70.4068585112108,0.0660544443843299,-0.124670283856367,-0.497678253142721,1,1.8,8.5,8,9,"high",0.595605826461482,-17.7208860249622,"CONTROL","CONTROL"
"47","c_P04","3","DIFF",1.04822283075974,99.0574504628099,0.417885328929523,-1.28689622547463,0.744728202822573,1,11.2,8.5,8,9,"high",0.552064057252233,-15.3283767114726,"DIFF","DIFF"
"48","c_P04","3","EASY",-0.117264801001751,71.1057183843537,1.4947716193165,-0.003612200565899,1.80805548500635,1,6,8.5,8,9,"high",-0.408307534724281,-16.2296484033869,"EASY","EASY"
"49","c_P04","4","CONTROL",-0.473217366395095,67.5758313109541,0.76536411117129,0.170405625900171,-0.497678253142721,1,1.8,8.5,8,9,"high",-0.346891313792976,-14.2415811134062,"CONTROL","CONTROL"
"50","c_P04","4","DIFF",1.18901836926227,93.4723360695187,-0.506292363913058,-2.00064334615668,1.71241983886027,0.75,11.6,8.5,8,9,"high",-0.568120301140891,-14.1840325401628,"DIFF","DIFF"
"51","c_P04","4","EASY",-0.0308344478854624,72.0472217416107,1.07426661653457,0.0624541692141776,-0.0340479722690329,1,2.2,8.5,8,9,"high",-1.09422779188762,-12.1154921382171,"EASY","EASY"
"52","c_P04","5","CONTROL",-0.813361260358427,62.5597904100418,0.0381538200296658,-0.954024959751242,-0.497678253142721,1,3,8.5,8,9,"high",-0.56259741726986,-12.360613202451,"CONTROL","CONTROL"
"53","c_P04","5","DIFF",0.804493232941105,90.5014646138996,0.481018025567318,0.654165695685682,0.276418375235902,0.75,9,8.5,8,9,"high",-0.142028823176232,-14.1684397663877,"DIFF","DIFF"
"54","c_P04","5","EASY",0.229047800665188,82.9227801468254,0.389496882084155,-1.69289736580851,0.857841024676355,1,2,8.5,8,9,"high",0.210612944127792,-14.505156749727,"EASY","EASY"
"55","c_P05","0","CONTROL",0.517171255314429,90.9588546242774,-0.513152115714151,1.155553305448,-0.497678253142721,1,14.6,7,7,7,"high",-0.0338594550029385,-9.65621536289264,"CONTROL","CONTROL"
"56","c_P05","0","DIFF",1.02684968861748,106.724215050633,-1.26458017298517,1.69368409808223,0.404198093805885,0,20,7,7,7,"high",-0.769367640439594,3.33915796763996,"DIFF","DIFF"
"57","c_P05","0","EASY",1.47842968320234,116.028061824742,-1.58360801872367,1.3165088919507,-0.0952143098574316,0.75,14.8,7,7,7,"high",1.02431383178023,-10.0643152345261,"EASY","EASY"
"58","c_P05","1","CONTROL",0.698588351194606,93.731116109215,0.711028345729489,1.35919486065268,-0.497678253142721,1,7.2,7,7,7,"high",-0.0911860820812506,-9.53694302436826,"CONTROL","CONTROL"
